age,feh,gaia_id
5.77,-0.54,4342806982510019456
8.28,0.15,1158019050967480064
4.7,-0.24,1159422749358899072
8.6,-0.91,4131550666634133888
6.11,-0.04,4110973989419352704
11.46,0.06,4045515909078440960
11.05,0.04,6731263275341425664
7.28,-0.44,4342877282534787456
8.59,0.27,4126013972771188608
10.39,-0.2,4130690985982203008
8.57,-0.54,1171578709397450112
11.5,-0.08,4343082680746594560
9.25,-0.23,4127147019495380864
9.7,-0.1,4045515324962817152
10.35,-0.11,4130694490675560832
11.43,-0.57,4418612777318375296
8.55,-0.58,4130765477896596992
8.84,-0.26,6734714298766880512
9.97,0.26,6734730752757635840
9.95,-0.16,6734688730800838784
6.17,-0.61,1176102581270419200
11.13,-0.76,4114061250610870656
9.3,0.19,4346442998739336064
11.08,-0.24,1158002523933311872
5.15,-0.09,4113951368145423104
11.31,-0.52,4126103926569184128
6.77,0.06,4343457962111855616
8.15,-0.07,4126314517399543936
8.55,-0.12,4346448496297525504
5.99,0.25,4343140095869402112
9.95,-0.25,1154923032381969792
10.32,-0.08,4343233696096529664
10.09,-0.34,4130411022836050304
5.25,0.25,4131550838435050624
10.49,-0.31,4130415244781721984
3.94,0.19,4112889411736716800
11.38,-0.41,1158073339354070016
4.29,-0.13,6731216408658348928
5.74,0.07,4126366297527695360
4.99,0.04,4415505935415252352
10.33,-0.6,4130433528464762624
7.53,0.19,6730908511046814464
11.37,-0.57,4130480803162493696
10.16,0.09,6731108278565898112
7.12,0.32,4045532023797696000
5.24,0.25,4114042210975321344
2.52,-0.05,4130485205513083648
1.59,-0.22,1172725190787700608
7.04,0.08,4343528640092966656
6.95,-0.2,6734897431848932352
7.78,-0.12,4130503484894050176
4.93,0.1,6731264649730962944
3.99,0.14,4415306923810534016
9.87,-0.39,4126363239510876672
11.3,-0.27,4057539480955704576
3.59,-0.06,4057239241261465728
7.58,0.28,4130779153072592000
6.31,0.13,1159495866882180096
9.29,0.03,6731203214519997824
8.32,0.12,4130486678677751040
5.08,-0.32,4130509291686983552
9.59,-0.34,4346612564048598656
11.27,-0.87,4127199997903727488
3.34,0.07,4126088464686998272
9.66,-0.03,6731107587066639104
8.81,-0.3,4127204434621549312
11.26,0.07,6719212520520816384
4.4,-0.15,4114321353829260416
5.5,0.2,4131539602798248448
6.45,-0.59,4418896107720956160
5.3,0.22,4043942606631121920
8.86,0.04,4130713452949807104
4.38,0.04,4126100765473042304
1.86,0.06,4114063342214952832
1.77,-0.01,4126042113398064384
7.4,-0.26,4126299227316019072
7.16,-0.42,4418883944373572480
6.89,-0.4,4130499945840960512
8.87,-0.09,4114116428007942912
9.33,0.15,4045800098488001664
9.59,0.0,4127136952091769600
2.02,-0.44,4130779286208513408
1.33,0.03,4057240791781971456
6.96,-0.32,4415241979609529088
7.45,0.23,6731096836772696448
10.96,-0.72,6719193523883801472
11.66,-0.32,6719212937135901056
6.14,-0.25,4130713590388759936
11.39,-0.24,1172940110951016576
7.43,-0.48,4130505439095442944
7.66,0.28,3958538938587372800
10.33,0.2,4130485480391186560
8.37,-0.3,4130714694201868160
10.82,-0.21,4127502397962760320
5.05,0.1,4109935088374733696
8.26,-0.37,4130780527462040704
10.38,-0.08,4131556503490486272
6.48,0.23,6731101131740136320
10.21,0.25,6731219466676281600
6.12,-0.16,4130506474188676224
8.48,0.3,4114063243475676032
11.82,-0.02,6731101784575198720
7.64,-0.49,4130783791637257216
11.35,-0.05,4045789442569310720
7.13,-0.02,4127141693735813376
11.73,0.08,6731207612566527104
7.87,0.22,4130509875802796928
11.6,-0.53,4049033762124593408
5.24,0.14,4113957965215232896
7.84,0.19,4126125294009638016
11.56,-0.59,4130762660397968128
10.39,-0.04,4130506607326546432
10.48,-0.23,4130786093736667264
11.02,-0.14,4045601082479319296
4.66,-0.07,6731113977977971328
8.89,-0.56,1176014375526747648
11.37,0.16,6731208162321345024
6.79,-0.35,4114023764116788352
9.95,-0.01,4130592918989329152
8.9,0.41,6731282138837922432
9.35,0.09,6731099340729967104
9.37,0.11,6731205585340945792
9.01,-0.09,1248032833822392832
6.98,0.39,6731209364912261888
9.74,0.12,6719202594854604032
11.72,-0.71,6731270662685274368
10.24,-0.02,4114118803177781120
2.96,-0.37,6734903754041882112
2.59,0.21,4057240615654732032
6.52,0.11,4061639869088137600
5.41,-0.05,1172923755715747584
5.26,0.12,6733994221728377344
11.24,-0.43,6731282207557390336
9.74,0.03,4127223744794608128
10.34,0.11,6731285299933862656
9.46,-0.16,4126112825742383616
10.11,-0.39,1176314546496417280
2.59,0.17,4130710880270843264
7.38,0.11,4130575777782838656
10.47,-0.06,6731114085361580032
2.69,-0.05,4130598210387313280
9.54,-0.36,6733994496606322560
11.23,-0.89,4415312043411556096
8.43,0.2,4130580141469632384
4.95,0.4,4114117566227174656
7.49,-0.45,4131541595663078528
7.87,-0.06,4127155437631267072
5.38,0.06,4346561161880468736
5.04,0.44,4044137258854262144
7.73,-0.33,4126369041997993472
10.79,-0.03,4126126019881745152
11.38,-0.73,4126108766975492480
4.45,-0.07,4044152819624403968
8.16,0.3,4130594160242923392
11.37,-0.33,4126130143050373120
10.62,-0.3,4343465894908251136
11.44,-0.46,4114070699539344896
9.37,-0.06,6731209571070705024
9.91,-0.26,4130784410112508928
9.79,-0.21,6731228159690052736
7.4,-0.07,4111029553468486272
5.33,0.4,4044216870449248384
10.07,-0.24,6731286188985949824
11.87,-0.15,6734723709014677888
11.54,-0.39,4126319224684745728
11.46,-0.6,4127418633222227584
6.26,0.17,4130767298962718592
4.0,0.06,6734789336111287296
10.18,-0.5,1248028298336936448
4.88,0.24,4049869975073237632
7.36,0.1,1158023036697142656
11.33,-0.46,4130508290953725696
11.29,-0.22,4056496078843972992
10.08,-0.24,4343233146340710784
7.11,0.06,4130594293377140224
4.18,-0.22,4346561024441197440
6.87,-0.09,4130594572559789568
6.31,0.15,6734743397141665536
4.78,-0.04,4130593541767628416
7.52,0.37,4049936736069606784
5.78,0.03,4415297062565644800
2.83,0.24,4056551432339035648
4.08,0.11,4127138670078631424
8.14,0.07,4127138738798135552
8.93,0.14,1176388076336554496
9.55,-0.09,4130860894888676736
9.47,-0.39,6734728072701500032
11.0,-0.34,6719209020125675648
