Star,SimbadName,Teff,logg,feh,class,is_host,age_gyr
BD+062932,BD+062932,5272,4.43,-0.84,single,False,0.014125375446227554
BD+063077,BD+063077,6136,4.95,-0.36,single,False,0.03162277660168379
BD+083095,BD+083095,5728,4.12,-0.77,single,False,17.78279410038923
BD-002387,BD-002387,4833,4.47,0.03,single,False,0.03548133892335753
BD-010184,BD-010184,4728,4.34,-0.34,single,False,19.952623149688826
BD-012505,BD-012505,4741,4.51,-0.11,single,False,0.03162277660168379
BD-033746,BD-033746,4732,4.63,-0.9,single,False,0.03548133892335753
BD-034797,BD-034797,4622,4.21,0.06,single,False,0.006309573444801942
BD-044138,BD-044138,4604,4.39,-0.11,single,False,0.017782794100389226
BD-050484,BD-050484,4674,4.42,-0.39,single,False,0.017782794100389226
BD-050578,BD-050578,5470,4.39,0.09,single,False,0.025118864315095822
BD-053176,BD-053176,4758,4.39,-0.09,single,False,19.952623149688826
BD-053596,BD-053596,4594,4.32,-0.34,single,False,19.952623149688826
BD-054065,BD-054065,4895,4.41,-0.29,single,False,0.01995262314968879
BD-060904,BD-060904,5066,4.46,-0.17,single,False,19.952623149688826
BD-063481,BD-063481,4815,4.36,-0.14,single,False,0.012589254117941687
BD-064196,BD-064196,4688,4.3,-0.03,single,False,0.012589254117941687
BD-064756,BD-064756,4646,4.54,-0.23,single,False,0.03981071705534969
BD-082534,BD-082534,5405,4.43,-0.78,single,False,0.01995262314968879
BD-082823,BD-082823,4816,4.43,-0.06,HMPH,True,0.025118864315095822
BD-084501,BD-084501,6216,4.81,-1.39,single,False,0.03162277660168379
BD-090872,BD-090872,4660,4.35,-0.19,single,False,0.012589254117941687
BD-091261,BD-091261,4717,4.69,-0.75,single,False,8.91250938133744
BD-092670,BD-092670,4806,4.46,-0.08,single,False,19.952623149688826
BD-094191,BD-094191,4804,4.44,-0.32,single,False,0.01995262314968879
BD-112763,BD-112763,4911,4.44,-0.26,single,False,0.01995262314968879
BD-120327,BD-120327,4680,4.35,-0.34,single,False,19.952623149688826
BD-123458,BD-123458,4803,4.86,-0.83,single,False,0.07079457843841373
BD-130116,BD-130116,4615,4.33,-0.49,single,False,0.011220184543019653
BD-130321,BD-130321,4772,4.41,0.02,single,False,0.01995262314968879
BD-131161,BD-131161,5389,4.37,0.09,single,False,0.022387211385683375
BD-140184,BD-140184,4714,4.32,-0.38,single,False,0.011220184543019653
BD-145003,BD-145003,4640,4.41,-0.51,single,False,0.015848931924611172
BD-160308,BD-160308,5183,4.48,-0.41,single,False,19.952623149688826
BD-160931,BD-160931,4840,4.38,-0.11,single,False,0.017782794100389226
BD-170063,BD-170063,4665,4.19,0.01,single,False,0.005623413251903491
BD-173242,BD-173242,4627,4.48,-0.29,single,False,0.03162277660168379
BD-195953,BD-195953,4775,4.51,-0.14,single,False,19.952623149688826
BD-213153,BD-213153,4622,4.38,-0.17,single,False,0.014125375446227554
BD-223528,BD-223528,4747,4.28,-0.17,single,False,0.008912509381337459
CD-2310879,CD-2310879,6788,4.67,-0.24,single,False,0.03548133892335753
CD-436810,CD-436810,6011,4.41,-0.44,single,False,6.309573444801943
CD-4512460,CD-4512460,5960,4.42,-0.86,single,False,12.589254117941662
CD-452997,CD-452997,5312,4.39,-0.84,single,False,0.015848931924611172
CD-571633,CD-571633,5975,4.46,-0.85,single,False,10.0
HD10002,HD10002,5313,4.4,0.17,single,False,12.589254117941662
HD100289,HD100289,5483,4.42,0.03,single,False,11.220184543019654
HD100508,HD100508,5449,4.42,0.39,single,False,0.03162277660168379
HD100777,HD100777,5536,4.33,0.25,HMPH,True,10.0
HD101339,HD101339,5731,4.48,-0.1,single,False,3.1622776601683795
HD101367,HD101367,5615,4.38,0.29,single,False,6.309573444801943
HD101581,HD101581,4738,4.46,-0.52,single,False,0.01995262314968879
HD101612,HD101612,6281,4.41,-0.36,single,False,2.238721138568338
HD101644,HD101644,5678,4.58,-0.56,single,False,2.8183829312644493
HD101650,HD101650,4626,4.29,-0.45,single,False,0.007943282347242822
HD10166,HD10166,5221,4.48,-0.39,single,False,19.952623149688826
HD10180,HD10180,5911,4.39,0.08,HMPH,True,4.466835921509653
HD101930,HD101930,5164,4.4,0.13,HMPH,True,15.848931924611108
HD102117,HD102117,5657,4.31,0.28,HMPH,True,7.943282347242854
