Star,SimbadName,Teff,logg,feh,class,is_host,age_gyr,rbirth_kpc
BD-091261,BD-091261,4717,4.69,-0.75,single,False,8.91250938133744,9.777564487562758
CD-436810,CD-436810,6011,4.41,-0.44,single,False,6.309573444801943,7.990291964962518
CD-4512460,CD-4512460,5960,4.42,-0.86,single,False,12.589254117941662,9.594167673292253
CD-571633,CD-571633,5975,4.46,-0.85,single,False,10.0,10.21601436460691
HD10002,HD10002,5313,4.4,0.17,single,False,12.589254117941662,2.471216516762934
HD100289,HD100289,5483,4.42,0.03,single,False,11.220184543019654,3.412313245339276
HD100777,HD100777,5536,4.33,0.25,HMPH,True,10.0,1.705985526861876
HD101339,HD101339,5731,4.48,-0.1,single,False,3.1622776601683795,5.900959397772893
HD101367,HD101367,5615,4.38,0.29,single,False,6.309573444801943,1.1926427575069827
HD101612,HD101612,6281,4.41,-0.36,single,False,2.238721138568338,9.634286977399269
HD101644,HD101644,5678,4.58,-0.56,single,False,2.8183829312644493,11.410231164938157
HD10180,HD10180,5911,4.39,0.08,HMPH,True,4.466835921509653,3.450738286126982
HD102117,HD102117,5657,4.31,0.28,HMPH,True,7.943282347242854,1.332169407104697
HD102136,HD102136,5349,4.43,-0.09,single,False,12.589254117941662,4.269243031298869
HD102200,HD102200,6185,4.59,-1.1,single,False,1.9952623149688828,18.932640157515266
HD102365,HD102365,5629,4.44,-0.29,LMPH,True,11.220184543019654,5.7568075824116764
HD102843,HD102843,5432,4.35,0.16,HMPH,True,11.220184543019654,2.4598624153596207
HD103197,HD103197,5250,4.45,0.22,LMPH,True,11.220184543019654,2.020269697306272
HD103891,HD103891,6072,4.05,-0.19,HMPH,True,5.623413251903491,5.84513987322239
HD104760A,HD104760,5953,4.43,0.12,single,False,2.238721138568338,3.869663307856884
HD105779,HD105779,5792,4.51,-0.25,HMPH,True,4.466835921509653,6.871485911628854
HD105837,HD105837,5907,4.54,-0.51,single,False,2.5118864315095926,11.139021332391046
HD105938,HD105938,6208,4.27,0.03,single,False,3.5481338923357604,4.27192804813776
HD106116,HD106116,5680,4.39,0.14,single,False,5.011872336272715,2.731762817490588
HD107094,HD107094,5562,4.54,-0.51,single,False,8.91250938133744,7.823403653947162
HD107148,HD107148,5805,4.4,0.31,HMPH,True,3.1622776601683795,1.2806904212376864
HD108063,HD108063,6081,4.11,0.55,single,False,2.238721138568338,0.5
HD108147,HD108147,6260,4.47,0.18,HMPH,True,0.2818382931264461,4.966597018579188
HD108768,HD108768,5633,4.45,0.14,single,False,4.466835921509653,2.8287841443150095
HD10895,HD10895,5685,4.52,-0.27,single,False,4.466835921509653,7.078804061875496
HD109310,HD109310,5922,4.55,-0.51,single,False,3.1622776601683795,10.52122820638768
HD109409,HD109409,5886,4.16,0.33,single,False,4.466835921509653,0.8592626437557715
HD109684,HD109684,5992,4.38,-0.34,single,False,7.079457843841373,6.835401071051294
HD109723,HD109723,5647,4.47,-0.04,single,False,5.623413251903491,4.393394880984629
HD109988,HD109988,5193,4.46,0.14,HMPH,True,11.220184543019654,2.6063932849860603
HD110291,HD110291,5480,4.38,-0.02,single,False,12.589254117941662,3.7851589518576745
HD110619,HD110619,5613,4.51,-0.41,single,False,7.943282347242854,7.22601342457125
HD110668,HD110668,5850,4.45,0.17,single,False,1.2589254117941662,3.9616757024218847
HD111031,HD111031,5801,4.39,0.27,single,False,3.5481338923357604,1.6353179832462077
HD111564,HD111564,6004,4.37,0.07,single,False,3.981071705534969,3.688071097947022
HD111777,HD111777,5666,4.46,-0.68,single,False,12.589254117941662,8.349380062525348
