pl_name,hostname,pl_orbper,pl_rade,pl_bmassj,pl_massj,ra,dec,sy_dist,sy_plx,Name,[Fe/H],e[Fe/H],Teff,Logg,Distance,SWFlag,hostname_norm
WASP-96 b,WASP-96,3.4252602,13.45,0.48,0.48,1.0465696,-47.3606352,352.464,2.80882,WASP-96,0.43,0.05,5781.0,4.48,349.772647778944,1,wasp-96
HD 114783 b,HD 114783,493.7,,1.1,,198.1818436,-2.2649921,21.0628,47.4482,HD 114783,0.04,0.04,5027.0,4.29,21.0292116779418,1,hd 114783
HD 114783 c,HD 114783,4352.0,,1.9,1.9,198.1818436,-2.2649921,21.0628,47.4482,HD 114783,0.04,0.04,5027.0,4.29,21.0292116779418,1,hd 114783
HAT-P-1 b,HAT-P-1,4.46529976,14.784671,0.525,0.525,344.4453632,38.674919,158.979,6.26153,HAT-P-1,0.2,0.01,6074.0,4.41,160.158877606586,1,hat-p-1
HD 12661 c,HD 12661,1708.0,,1.812,,31.1423525,25.4135632,37.8478,26.3927,HD 12661,0.39,0.03,5754.0,4.33,37.790895417476,1,hd 12661
HD 12661 b,HD 12661,262.70862,,2.43,,31.1423525,25.4135632,37.8478,26.3927,HD 12661,0.39,0.03,5754.0,4.33,37.790895417476,1,hd 12661
HD 27894 c,HD 27894,36.07,,0.162,,65.1975693,-59.4096776,43.8214,22.791,HD 27894,0.25,0.07,4813.0,4.1,43.689490056272106,1,hd 27894
HD 27894 b,HD 27894,18.01939,,0.619,,65.1975693,-59.4096776,43.8214,22.791,HD 27894,0.25,0.07,4813.0,4.1,43.689490056272106,1,hd 27894
HD 27894 d,HD 27894,5019.54244,,6.493,6.493,65.1975693,-59.4096776,43.8214,22.791,HD 27894,0.25,0.07,4813.0,4.1,43.689490056272106,1,hd 27894
WASP-17 b,WASP-17,3.73543,20.96083,0.78,0.78,239.9622479,-28.0617941,405.908,2.43656,WASP-17,-0.01,0.03,6793.0,4.59,403.04703558905294,1,wasp-17
