Name,age_gyr,age_gyr_p16,age_gyr_p84,fit_ok,error
11 Com,,,,False,name 'pymultinest' is not defined
11 UMi,,,,False,name 'pymultinest' is not defined
14 And,,,,False,name 'pymultinest' is not defined
14 Her,,,,False,name 'pymultinest' is not defined
16 Cyg B,,,,False,name 'pymultinest' is not defined
18 Del,,,,False,name 'pymultinest' is not defined
24 Sex,,,,False,name 'pymultinest' is not defined
30 Ari B,,,,False,name 'pymultinest' is not defined
38 Vir,,,,False,name 'pymultinest' is not defined
4 Uma,,,,False,name 'pymultinest' is not defined
47 Uma,,,,False,name 'pymultinest' is not defined
51 Peg,,,,False,name 'pymultinest' is not defined
55 Cnc,,,,False,name 'pymultinest' is not defined
6 Lyn,,,,False,name 'pymultinest' is not defined
61 Vir,,,,False,name 'pymultinest' is not defined
7 CMA,,,,False,name 'pymultinest' is not defined
70 Vir,,,,False,name 'pymultinest' is not defined
75 Cet,,,,False,name 'pymultinest' is not defined
8 Umi,,,,False,name 'pymultinest' is not defined
81 Cet,,,,False,name 'pymultinest' is not defined
91 Aqr,,,,False,name 'pymultinest' is not defined
alf Ari,,,,False,name 'pymultinest' is not defined
BD-06 1339,,,,False,name 'pymultinest' is not defined
BD-08 2823,,,,False,name 'pymultinest' is not defined
BD-10 3166,,,,False,name 'pymultinest' is not defined
BD-11 4672,,,,False,name 'pymultinest' is not defined
BD-17 63,,,,False,name 'pymultinest' is not defined
BD+14 4559,,,,False,name 'pymultinest' is not defined
BD+15 2375,,,,False,name 'pymultinest' is not defined
BD+15 2940,,,,False,name 'pymultinest' is not defined
BD+20 2457,,,,False,name 'pymultinest' is not defined
BD+20 274,,,,False,name 'pymultinest' is not defined
BD+20 594,,,,False,name 'pymultinest' is not defined
BD+24 4697,,,,False,name 'pymultinest' is not defined
BD+26 1888,,,,False,name 'pymultinest' is not defined
BD+48 738,,,,False,name 'pymultinest' is not defined
BD+49 828,,,,False,name 'pymultinest' is not defined
beta Cnc,,,,False,name 'pymultinest' is not defined
CoRoT-1,,,,False,name 'pymultinest' is not defined
CoRoT-10,,,,False,name 'pymultinest' is not defined
CoRoT-11,,,,False,name 'pymultinest' is not defined
CoRoT-12,,,,False,name 'pymultinest' is not defined
CoRoT-19,,,,False,name 'pymultinest' is not defined
CoRoT-2,,,,False,name 'pymultinest' is not defined
CoRoT-22,,,,False,name 'pymultinest' is not defined
CoRoT-25,,,,False,name 'pymultinest' is not defined
CoRoT-28,,,,False,name 'pymultinest' is not defined
CoRoT-3,,,,False,name 'pymultinest' is not defined
CoRoT-4,,,,False,name 'pymultinest' is not defined
CoRoT-5,,,,False,name 'pymultinest' is not defined
CoRoT-6,,,,False,name 'pymultinest' is not defined
CoRoT-7,,,,False,name 'pymultinest' is not defined
CoRoT-8,,,,False,name 'pymultinest' is not defined
CoRoT-9,,,,False,name 'pymultinest' is not defined
EPIC 201295312,,,,False,name 'pymultinest' is not defined
K2-19,,,,False,name 'pymultinest' is not defined
K2-36,,,,False,name 'pymultinest' is not defined
K2-24,,,,False,name 'pymultinest' is not defined
K2-38,,,,False,name 'pymultinest' is not defined
K2-32,,,,False,name 'pymultinest' is not defined
K2-98,,,,False,name 'pymultinest' is not defined
K2-100,,,,False,name 'pymultinest' is not defined
K2-139,,,,False,name 'pymultinest' is not defined
EPIC 219388192,,,,False,name 'pymultinest' is not defined
EPIC 220674823,,,,False,name 'pymultinest' is not defined
eps CrB,,,,False,name 'pymultinest' is not defined
eps Eridani,,,,False,name 'pymultinest' is not defined
eps Tau,,,,False,name 'pymultinest' is not defined
eta Cet,,,,False,name 'pymultinest' is not defined
gamma 1 Leo,,,,False,name 'pymultinest' is not defined
gamma Cephei A,,,,False,name 'pymultinest' is not defined
GJ 160.2,,,,False,name 'pymultinest' is not defined
GJ 3021,,,,False,name 'pymultinest' is not defined
GJ 785,,,,False,name 'pymultinest' is not defined
GJ 86,,,,False,name 'pymultinest' is not defined
HAT-P-48,,,,False,name 'pymultinest' is not defined
HAT-P-1,,,,False,name 'pymultinest' is not defined
HAT-P-11,,,,False,name 'pymultinest' is not defined
HAT-P-12,,,,False,name 'pymultinest' is not defined
HAT-P-13,,,,False,name 'pymultinest' is not defined
HAT-P-14,,,,False,name 'pymultinest' is not defined
HAT-P-15,,,,False,name 'pymultinest' is not defined
HAT-P-16,,,,False,name 'pymultinest' is not defined
HAT-P-17,,,,False,name 'pymultinest' is not defined
HAT-P-18,,,,False,name 'pymultinest' is not defined
HAT-P-2,,,,False,name 'pymultinest' is not defined
HAT-P-20,,,,False,name 'pymultinest' is not defined
HAT-P-21,,,,False,name 'pymultinest' is not defined
HAT-P-22,,,,False,name 'pymultinest' is not defined
HAT-P-23,,,,False,name 'pymultinest' is not defined
HAT-P-24,,,,False,name 'pymultinest' is not defined
HAT-P-26,,,,False,name 'pymultinest' is not defined
HAT-P-27,,,,False,name 'pymultinest' is not defined
HAT-P-29,,,,False,name 'pymultinest' is not defined
HAT-P-3,,,,False,name 'pymultinest' is not defined
HAT-P-30,,,,False,name 'pymultinest' is not defined
HAT-P-31,,,,False,name 'pymultinest' is not defined
HAT-P-33,,,,False,name 'pymultinest' is not defined
HAT-P-34,,,,False,name 'pymultinest' is not defined
HAT-P-35,,,,False,name 'pymultinest' is not defined
HAT-P-36,,,,False,name 'pymultinest' is not defined
HAT-P-39,,,,False,name 'pymultinest' is not defined
HAT-P-4,,,,False,name 'pymultinest' is not defined
HAT-P-40,,,,False,name 'pymultinest' is not defined
HAT-P-41,,,,False,name 'pymultinest' is not defined
HAT-P-42,,,,False,name 'pymultinest' is not defined
HAT-P-43,,,,False,name 'pymultinest' is not defined
HAT-P-44,,,,False,name 'pymultinest' is not defined
HAT-P-45,,,,False,name 'pymultinest' is not defined
HAT-P-46,,,,False,name 'pymultinest' is not defined
HAT-P-49,,,,False,name 'pymultinest' is not defined
HAT-P-5,,,,False,name 'pymultinest' is not defined
HAT-P-50,,,,False,name 'pymultinest' is not defined
HAT-P-51,,,,False,name 'pymultinest' is not defined
HAT-P-54,,,,False,name 'pymultinest' is not defined
HAT-P-55,,,,False,name 'pymultinest' is not defined
HAT-P-56,,,,False,name 'pymultinest' is not defined
HAT-P-6,,,,False,name 'pymultinest' is not defined
HAT-P-66,,,,False,name 'pymultinest' is not defined
HAT-P-7,,,,False,name 'pymultinest' is not defined
HAT-P-8,,,,False,name 'pymultinest' is not defined
HAT-P-9,,,,False,name 'pymultinest' is not defined
HATS-1,,,,False,name 'pymultinest' is not defined
HATS-10,,,,False,name 'pymultinest' is not defined
HATS-13,,,,False,name 'pymultinest' is not defined
HATS-14,,,,False,name 'pymultinest' is not defined
HATS-17,,,,False,name 'pymultinest' is not defined
HATS-2,,,,False,name 'pymultinest' is not defined
HATS-27,,,,False,name 'pymultinest' is not defined
HATS-3,,,,False,name 'pymultinest' is not defined
HATS-33,,,,False,name 'pymultinest' is not defined
HATS-5,,,,False,name 'pymultinest' is not defined
HD 100655,,,,False,name 'pymultinest' is not defined
HD 100777,,,,False,name 'pymultinest' is not defined
HD 10180,,,,False,name 'pymultinest' is not defined
HD 101930,,,,False,name 'pymultinest' is not defined
HD 102117,,,,False,name 'pymultinest' is not defined
HD 102195,,,,False,name 'pymultinest' is not defined
HD 102272,,,,False,name 'pymultinest' is not defined
HD 102329,,,,False,name 'pymultinest' is not defined
HD 102365 A,,,,False,name 'pymultinest' is not defined
HD 102956,,,,False,name 'pymultinest' is not defined
