Name,age_gyr,age_gyr_p16,age_gyr_p84,fit_ok,error
11 Com,,,,False,"operands could not be broadcast together with shapes (15,) (16,) "
11 UMi,,,,False,"operands could not be broadcast together with shapes (15,) (16,) "
14 And,,,,False,"operands could not be broadcast together with shapes (15,) (16,) "
14 Her,,,,False,"operands could not be broadcast together with shapes (15,) (16,) "
16 Cyg B,,,,False,"operands could not be broadcast together with shapes (15,) (16,) "
18 Del,,,,False,"operands could not be broadcast together with shapes (15,) (16,) "
24 Boo,,,,False,"operands could not be broadcast together with shapes (15,) (16,) "
24 Sex,,,,False,"operands could not be broadcast together with shapes (15,) (16,) "
3 Cnc,,,,False,"operands could not be broadcast together with shapes (15,) (16,) "
30 Ari B,,,,False,"operands could not be broadcast together with shapes (15,) (16,) "
38 Vir,,,,False,"operands could not be broadcast together with shapes (15,) (16,) "
4 Uma,,,,False,"operands could not be broadcast together with shapes (15,) (16,) "
47 Uma,,,,False,"operands could not be broadcast together with shapes (15,) (16,) "
51 Peg,,,,False,"operands could not be broadcast together with shapes (15,) (16,) "
55 Cnc,,,,False,"operands could not be broadcast together with shapes (15,) (16,) "
6 Lyn,,,,False,"operands could not be broadcast together with shapes (15,) (16,) "
61 Vir,,,,False,"operands could not be broadcast together with shapes (15,) (16,) "
7 CMA,,,,False,"operands could not be broadcast together with shapes (15,) (16,) "
70 Vir,,,,False,"operands could not be broadcast together with shapes (15,) (16,) "
75 Cet,,,,False,"operands could not be broadcast together with shapes (15,) (16,) "
8 Umi,,,,False,"operands could not be broadcast together with shapes (15,) (16,) "
81 Cet,,,,False,"operands could not be broadcast together with shapes (15,) (16,) "
91 Aqr,,,,False,"operands could not be broadcast together with shapes (15,) (16,) "
BD+14 4559,,,,False,"operands could not be broadcast together with shapes (15,) (16,) "
BD+15 2375,,,,False,"operands could not be broadcast together with shapes (15,) (16,) "
BD+15 2940,,,,False,"operands could not be broadcast together with shapes (15,) (16,) "
BD+20 2457,,,,False,"operands could not be broadcast together with shapes (15,) (16,) "
BD+20 274,,,,False,"operands could not be broadcast together with shapes (15,) (16,) "
BD+20 594,,,,False,"operands could not be broadcast together with shapes (15,) (16,) "
BD+24 4697,,,,False,"operands could not be broadcast together with shapes (15,) (16,) "
BD+26 1888,,,,False,"operands could not be broadcast together with shapes (15,) (16,) "
BD+45 564,,,,False,"operands could not be broadcast together with shapes (15,) (16,) "
BD+48 738,,,,False,"operands could not be broadcast together with shapes (15,) (16,) "
BD+48 740,,,,False,"operands could not be broadcast together with shapes (15,) (16,) "
BD+49 828,,,,False,"operands could not be broadcast together with shapes (15,) (16,) "
BD+55 362,,,,False,"operands could not be broadcast together with shapes (15,) (16,) "
BD+63 1405,,,,False,"operands could not be broadcast together with shapes (15,) (16,) "
BD-00 4475,,,,False,"operands could not be broadcast together with shapes (15,) (16,) "
BD-06 1339,,,,False,"operands could not be broadcast together with shapes (15,) (16,) "
BD-08 2823,,,,False,"operands could not be broadcast together with shapes (15,) (16,) "
BD-10 3166,,,,False,"operands could not be broadcast together with shapes (15,) (16,) "
BD-11 4672,,,,False,"operands could not be broadcast together with shapes (15,) (16,) "
BD-17 63,,,,False,"operands could not be broadcast together with shapes (15,) (16,) "
CoRoT-1,,,,False,"operands could not be broadcast together with shapes (15,) (16,) "
CoRoT-10,,,,False,"operands could not be broadcast together with shapes (15,) (16,) "
CoRoT-11,,,,False,"operands could not be broadcast together with shapes (15,) (16,) "
CoRoT-12,,,,False,"operands could not be broadcast together with shapes (15,) (16,) "
CoRoT-19,,,,False,"operands could not be broadcast together with shapes (15,) (16,) "
CoRoT-2,,,,False,"operands could not be broadcast together with shapes (15,) (16,) "
CoRoT-22,,,,False,"operands could not be broadcast together with shapes (15,) (16,) "
CoRoT-25,,,,False,"operands could not be broadcast together with shapes (15,) (16,) "
CoRoT-28,,,,False,"operands could not be broadcast together with shapes (15,) (16,) "
CoRoT-3,,,,False,"operands could not be broadcast together with shapes (15,) (16,) "
CoRoT-32,,,,False,"operands could not be broadcast together with shapes (15,) (16,) "
CoRoT-4,,,,False,"operands could not be broadcast together with shapes (15,) (16,) "
CoRoT-5,,,,False,"operands could not be broadcast together with shapes (15,) (16,) "
CoRoT-6,,,,False,"operands could not be broadcast together with shapes (15,) (16,) "
CoRoT-7,,,,False,"operands could not be broadcast together with shapes (15,) (16,) "
CoRoT-8,,,,False,"operands could not be broadcast together with shapes (15,) (16,) "
CoRoT-9,,,,False,"operands could not be broadcast together with shapes (15,) (16,) "
DS Tuc A,,,,False,"operands could not be broadcast together with shapes (15,) (16,) "
EPIC 201295312,,,,False,"operands could not be broadcast together with shapes (15,) (16,) "
EPIC 201595106,,,,False,"operands could not be broadcast together with shapes (15,) (16,) "
EPIC 211945201,,,,False,"operands could not be broadcast together with shapes (15,) (16,) "
EPIC 212036875,,,,False,"operands could not be broadcast together with shapes (15,) (16,) "
EPIC 219388192,,,,False,"operands could not be broadcast together with shapes (15,) (16,) "
EPIC 220674823,,,,False,"operands could not be broadcast together with shapes (15,) (16,) "
EPIC 249893012,,,,False,"operands could not be broadcast together with shapes (15,) (16,) "
GJ 143,,,,False,"operands could not be broadcast together with shapes (15,) (16,) "
GJ 160.2,,,,False,"operands could not be broadcast together with shapes (15,) (16,) "
GJ 2030,,,,False,"operands could not be broadcast together with shapes (15,) (16,) "
GJ 3021,,,,False,"operands could not be broadcast together with shapes (15,) (16,) "
GJ 3222,,,,False,"operands could not be broadcast together with shapes (15,) (16,) "
