Name,age_gyr,[Fe/H],rbirth_kpc,rbirth_kpc_clipped
11 Com,0.7943282347242822,-0.26,10.341920804127003,10.341920804127003
14 And,1.584893192461111,-0.28,9.627701710042723,9.627701710042723
14 Her,11.220184543019654,0.37,0.066664558950837,0.5
16 Cyg B,7.079457843841373,0.09,3.1837906594545906,3.1837906594545906
18 Del,0.7079457843841402,0.03,6.6761427403479345,6.6761427403479345
24 Boo,1.4125375446227613,-0.603,13.753438161917417,13.753438161917417
24 Sex,1.4125375446227613,-0.02,6.644166127877481,6.644166127877481
3 Cnc,0.5011872336272735,-0.142,9.207439253524594,9.207439253524594
30 Ari B,1.584893192461111,0.12,4.82164182223489,4.82164182223489
4 Uma,1.4125375446227613,-0.18,8.59525279245105,8.59525279245105
47 Uma,3.981071705534969,0.06,4.335455959534319,4.335455959534319
51 Peg,5.011872336272715,0.21,2.5059303502334638,2.5059303502334638
6 Lyn,1.584893192461111,-0.09,7.3448232633340025,7.3448232633340025
7 CMA,2.238721138568338,0.24,3.070013650737824,3.070013650737824
70 Vir,10.0,-0.07,4.047418890658027,4.047418890658027
75 Cet,0.5011872336272735,0.03,6.90540107145729,6.90540107145729
8 Umi,0.4466835921509635,-0.013,7.549009410776947,7.549009410776947
81 Cet,0.5011872336272735,0.0,7.306919359027169,7.306919359027169
91 Aqr,1.1220184543019651,0.01,6.527081280598537,6.527081280598537
BD+15 2375,0.8912509381337477,-0.1,8.156634366353291,8.156634366353291
BD+15 2940,1.584893192461111,-0.19,8.54633823528596,8.54633823528596
BD+20 274,8.91250938133744,-0.23,5.683154522207033,5.683154522207033
BD+20 594,10.0,-0.16,4.833826657648318,4.833826657648318
BD+48 740,7.079457843841373,-0.07,4.671358001676547,4.671358001676547
BD+49 828,0.4466835921509635,-0.01,7.5085948203926165,7.5085948203926165
BD-10 3166,12.589254117941662,0.34,0.17727723481270452,0.5
CoRoT-11,2.8183829312644493,0.04,5.0435286838285105,5.0435286838285105
CoRoT-12,0.1584893192461117,0.34,3.0088554200670483,3.0088554200670483
